ESIID,USAGE_DATE,REVISION_DATE,START_READING,END_READING,USAGE_KWH
'10443720000503825,03/10/2026,03/11/2026 07:39:12,48884.063,48924.499,40.433
'10443720000503825,03/11/2026,03/12/2026 07:41:07,48924.499,48972.044,47.543
'10443720000503825,03/12/2026,03/13/2026 07:41:36,48972.044,49012.238,40.194
'10443720000503825,03/13/2026,03/14/2026 07:46:44,49012.238,49055.968,43.723
'10443720000503825,03/14/2026,03/15/2026 08:08:46,49055.968,49069.84,13.869
'10443720000503825,03/15/2026,03/16/2026 07:39:10,49069.84,49111.121,41.279
'10443720000503825,03/16/2026,03/17/2026 07:40:10,49111.121,49179.215,68.098
'10443720000503825,03/17/2026,03/18/2026 07:42:29,49179.215,49226.677,47.463
'10443720000503825,03/18/2026,03/19/2026 07:41:30,49226.677,49273.406,46.732
'10443720000503825,03/19/2026,03/20/2026 07:40:36,49273.406,49322.611,49.204
'10443720000503825,03/20/2026,03/21/2026 07:40:20,49322.611,49363.457,40.851
'10443720000503825,03/21/2026,03/22/2026 08:12:53,49363.457,49377.835,14.374
'10443720000503825,03/22/2026,03/23/2026 07:39:27,49377.835,49422.365,44.527
'10443720000503825,03/23/2026,03/24/2026 07:38:06,49422.365,49462.056,39.691
'10443720000503825,03/24/2026,03/25/2026 07:38:42,49462.056,49500.701,38.648
'10443720000503825,03/25/2026,03/26/2026 07:40:52,49500.701,49538.611,37.91
'10443720000503825,03/26/2026,03/27/2026 07:41:04,49538.611,49574.773,36.159
'10443720000503825,03/27/2026,03/28/2026 07:39:31,49574.773,49606.555,31.779
'10443720000503825,03/28/2026,03/29/2026 08:07:23,49606.555,49650.934,44.381
'10443720000503825,03/29/2026,03/30/2026 07:41:39,49650.934,49701.388,50.45
'10443720000503825,03/30/2026,03/31/2026 07:39:36,49701.388,49731.304,29.915
'10443720000503825,03/31/2026,04/01/2026 07:42:10,49731.304,49771.378,40.078
'10443720000503825,04/01/2026,04/02/2026 07:40:25,49771.378,49809.101,37.723
'10443720000503825,04/02/2026,04/03/2026 07:41:00,49809.101,49836.546,27.446
'10443720000503825,04/03/2026,04/04/2026 07:51:17,49836.546,49853.586,17.039
'10443720000503825,04/04/2026,04/05/2026 08:09:31,49853.586,49883.479,29.898
'10443720000503825,04/05/2026,04/06/2026 07:42:07,49883.479,49931.773,48.294
'10443720000503825,04/06/2026,04/07/2026 07:41:51,49931.773,49970.987,39.208
'10443720000503825,04/07/2026,04/08/2026 07:40:03,49970.987,50004.95,33.964
'10443720000503825,04/08/2026,04/09/2026 07:42:06,50004.95,50034.818,29.861
